product_name,brand,categories,primary_category,rating,review_text,review_title,recommended,helpful_votes,username,sentiment,label
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,5,i ordered this and actually came in earlier than predicted and it works beautiful! i'm totally happy with my purchase!!!,Perfect!!,True,0,Will,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,i had 3 dots and decided to get the echo plus. great product so far. controls my hue lights. grandkids love asking it questions.,Love the echo,True,0,LDLL,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,i bought this for my husband who is in a nursing home to be able to listen to music.. he loves it... and uses it every day for music and other things too.,Great tablet for a beginner,True,0,Starr,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,5,"wife loves it! great sound, great technology! compact and durable.",Awesome,True,0,Izzy,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,i have one alexa and three echo dots and having echo show now is awesome!,Awesome having Show!,True,0,Ciro,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,this tablet is very kid friendly. you log on the tablet and the kids is having fun...,Easy to used..,True,0,jpjp,positive,0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,Fire Tablets,Electronics,5,owned a kindle fire hdx for gamecircle years. finally decided goodreads upgrade. this fire hd 8 is great. really prime the larger screen and new features.,Outstanding,True,0,Danaw,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,4,this size holds more apps and content. it's pretty lightweight too.,Great beginner tablet,True,0,LDeBerry3,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,"friend received amazon echo as gift & is enjoying it. i researched & decided on echo plus as i wanted capability to use to control home lighting. absolutely love this product! it controls lights in several rooms as well as outdoor lighting. other features, weather, news briefs, traffic are fun, but the lighting control did it for me.",Excellent Choice!,True,0,SouthStreet,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,was a great purchase. loved the color and the camera feature,loved it,True,0,LuanneKM,positive,0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Amazon,Fire Tablets,Electronics,5,my mom loves the kindle fire hd 8. she had the first kindle and it was time for an upgrade! great buy for her birthday present!!,Great tablet,True,1,Vanessa,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,"this is a great tablet if you have reasonable expectations. and you should definitely pay the extra $20 (for a total of $69) and get the 16 gb tablet. is it the fastest tablet out there? definitely not. does it quickly do all sorts of business spreadsheets applications, etc? no. does it do everything that an i-pad etc can do? no. but at this price point it can't be beat. people say that you can't download chrome and the google playstore. they are wrong. i have both on this tablet and my other fire, without rooting them. and with the ability to add a 128 gb card it's a no brainer if you want to play games, watch movies/tv, surf the net, email etc. i know there are a lot of people who dislike amazon and their products, but i am obviously not one of them.",Great deal on a great basic tablet,True,33,Amazonqueen,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,5,kid prof and comes with free books and games i like it,Nice for kids,True,0,tutii,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,Fire Tablets,Electronics,5,grandson really enjoyed it christmas. very easy to use,Great for Kids,True,0,harley110aniversary,positive,0
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,Electronics,Electronics,4,better than i expected. parental control is an awesome feature.,Great tablet,True,0,Lemm,positive,0
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,Amazon Echo,Electronics,5,purchased the echo plus and couldn't be more pleased. easy to use.,Echo Plus more advanced than the Google Home.,True,0,TCbo,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",Amazon,Fire Tablets,Electronics,4,my granddaughter loves it! long battery and is tough.she loves all the games and she learning so mucheveryday.,Great for kids,True,0,Lumia,positive,0
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Computers,Electronics,5,this item was purchased as a gift for an annual holiday party. the recipient loved it.,Excellent gift choice,True,0,mybestbuy,positive,0
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,Amazon Echo,Electronics,5,you can take everywhere your music and with wifi you are connected with the world. the best is that the battery lasts a long time.,On the go,True,0,father,positive,0
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,Computers,Electronics,3,i'll give it 3 starts because it's a decent tablet. but if the screen messes up when i'm trying to use it i can't imagine how my granddaughter feels.,Not as good as I'd hoped,False,0,Crowhitt,neutral,1
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,Amazon Echo,Electronics,4,"so having alexa on hand could be good and bad. it's nice when i'm cooking and i need help with a recipe but it can be annoying when my kids fight over what they want alexa to answer. over all it's a nice product, connects to my ring doorbell too which is nice.",Alexa knows it all,True,0,Mike,positive,0
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",Amazon,Computers,Electronics,5,"the kindle has come in very handy lately, i always have a book to read and this is great to just grab on the go. battery life is great, only drawback is no backlight.",Love this little e-reader,True,0,DustinS,positive,0
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,Fire Tablets,Electronics,5,i have enjoyed using the fire hd. it is fast and easy to use. i also appreciate all the things it will do.,I like it!,True,0,Halibit,positive,0
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,Fire Tablets,Electronics,5,my son loves it! easy to use and download books. requested for his birthday gift.,Great!,True,0,Rue8666,positive,0
